"File"	"Speaker"	"Wordcount"
"DGB004"	"HS"	730
"DGB004"	"Z1"	1108
"DGB004"	"Z2"	245
"DGB005"	"HS"	867
"DGB005"	"Z1"	436
"DGB005"	"Z2"	485
"DGB005"	"Z3"	200
"DGB006"	"SC"	552
"DGB006"	"ZZ"	573
"DGB007"	"HS"	907
"DGB007"	"Z1"	214
"DGB007"	"Z2"	826
"DGB008"	"HM"	980
"DGB008"	"Z1"	1048
"DGB008"	"Z2"	780
"DGB009"	"HA"	426
"DGB009"	"HJ"	452
"DGB009"	"Z1"	633
"DGB009"	"Z2"	279
"DGB009"	"Z3"	310
"DGB009"	"Z4"	321
"DGB010"	"HE"	1015
"DGB010"	"ZZ"	1037
"DGB013"	"HM"	574
"DGB013"	"Z1"	295
"DGB013"	"Z2"	1224
"DGB014"	"HF"	649
"DGB014"	"Z1"	447
"DGB014"	"Z2"	303
"DGB014"	"Z3"	263
"DGB014"	"Z4"	16
"DGB014"	"Z5"	212
"DGB014"	"Z6"	617
"DGB016"	"HG"	1264
"DGB016"	"Z1"	505
"DGB016"	"Z2"	255
"DGB022"	"CR"	758
"DGB022"	"HB"	180
"DGB022"	"Z1"	174
"DGB022"	"Z2"	368
"DGB022"	"Z3"	225
"DGB022"	"Z4"	515
"DGB023"	"HS"	1196
"DGB023"	"X1"	296
"DGB023"	"X2"	257
"DGB023"	"Z1"	390
"DGB023"	"Z2"	493
"DGB023"	"Z3"	89
"DGB023"	"Z4"	187
"DGB024"	"HS"	1060
"DGB024"	"Z1"	874
"DGB024"	"Z2"	481
"DGB025"	"HB"	17
"DGB025"	"JB"	577
"DGB025"	"Z1"	189
"DGB025"	"Z2"	76
"DGB025"	"Z3"	190
"DGB027"	"HC"	1022
"DGB027"	"Z1"	597
"DGB027"	"Z2"	1330
"DGB028"	"HA"	161
"DGB028"	"HJ"	682
"DGB028"	"Z1"	514
"DGB028"	"Z2"	476
"DGB028"	"Z3"	752
"DGB029"	"HC"	662
"DGB029"	"Z1"	344
"DGB029"	"Z2"	534
"DGB029"	"Z3"	343
"DGB033"	"HC"	447
"DGB033"	"XH"	301
"DGB033"	"Z1"	44
"DGB033"	"Z2"	26
"DGB033"	"Z3"	73
"DGB035"	"HM"	441
"DGB035"	"Z1"	1374
"DGB036"	"HM"	410
"DGB036"	"Z1"	516
