"Id"	"Ethnicity"	"Gender"	"Age"	"Occupation"	"Education"	"L1"	"File"	"Speaker"	"Words"	"Words"	"Date"	"Topic"	"ExtractMinutes"	"Minutes"	"Type"
3	"PAKEHA"	"Woman"	"35-39"	"LECTURER"	"MA"	"ENGLISH"	"MUL025"	"LN"	2370	2370	"12/2/92 "	"HOW TO GIVE LECTURE"	40	16	"Lecture"
4	"PAKEHA"	"Woman"	"35-39"	"MINISTER OF THE CROWN"	"DIP TCH"	"ENGLISH"	"DGI070"	"JS"	1962	2309	"10/8/91 "	"SUPERANNUATION"	22	13	"BroadcastInterview"
5	"PAKEHA"	"Woman"	"65-69"	"SELF EMPLOYED WRITER"	"MA"	"ENGLISH"	"DGI020"	"LE"	1668	2079	"3/5/91 "	""	20	11	"BroadcastInterview"
6	"PAKEHA"	"Man"	"45-49"	"ECONOMIST, SOCIAL STAT."	"UNIVERSITY DEGREES"	"ENGLISH"	"DGI043"	"BE"	1921	2141	"21/6/91 "	""	60	11	"BroadcastInterview"
7	"PAKEHA"	"Man"	"45-49"	"NEWSCASTER"	"UNIVERSITY DEGREE"	""	"MSN187"	"RL"	353	766	"20/8/91 "	"NEWS"	30	5	"BroadcastNews"
8	"PAKEHA"	"Man"	"40-44"	"TV WEATHER PRESENTER"	"BA"	"ENGLISH"	"MSW055"	"PM"	496	496	"9/6/91 "	"WEATHER"	3	3	"BroadcastWeather"
10	"PAKEHA"	"Woman"	"30-34"	"BROADCASTER/JOURNALIST"	"DIP HORTICULTURE"	"ENGLISH"	"DGI072"	"IM"	817	2153	"8/8/91 "	""	30	12	"BroadcastInterview"
10	"PAKEHA"	"Woman"	"30-34"	"BROADCASTER/JOURNALIST"	"DIP HORTICULTURE"	"ENGLISH"	"DGI085"	"IM"	196	2318	"20/8/91 "	"DIRECTIONS"	30	13	"BroadcastInterview"
10	"PAKEHA"	"Woman"	"30-34"	"BROADCASTER/JOURNALIST"	"DIP HORTICULTURE"	"ENGLISH"	"DGI079"	"IM"	815	2322	"3/10/91 "	""	12	12	"BroadcastInterview"
10	"PAKEHA"	"Woman"	"30-34"	"BROADCASTER/JOURNALIST"	"DIP HORTICULTURE"	"ENGLISH"	"DGI020"	"IM"	411	2079	"3/5/91 "	""	20	11	"BroadcastInterview"
